EmpID,FirstName,LastName,Name,Position,Department,Agreement_Date,ExitDate, Contract_Term (in months) ,Current Employee Rating,Basic Salary,Bonus,Benefits,cloud_service_used,database_software_required,statistic_software_required,programming_language_required,Tools_used
1002,Sandra,Martin,Sandra_Martin,Foreman,Software Engineering,2022-12-12,2023-05-28,6,3,88916.8,0,3581.86,,,,,",,"
1003,Keyla,Del Bosque,Keyla_Del Bosque,Foreman,Software Engineering,2023-03-08,2023-03-15,0,3,41854.4,0,2155.7,,,,C/C++/C#/Objective-C,",,C/C++/C#/Objective-C"
1004,Andrew,Szabo,Andrew_Szabo,Coordinator,Software Engineering,2020-05-29,2021-03-05,9,3,109230.4,4535.55,2640.83,,,,Python,",,Python"
1006,Colby,Andreola,Colby_Andreola,Administrator,Software Engineering,2021-08-15,2021-11-20,3,3,83230.56,0,0,,,,C/C++/C#/Objective-C,",,C/C++/C#/Objective-C"
1007,Edward,TRUE,Edward_TRUE,Lineman,Software Engineering,2020-10-25,2021-09-26,11,3,70028.34,4837.33,2924.85,NoSQL,SQL,,Ruby,"SQL,,Ruby"
1008,Judith,Carabbio,Judith_Carabbio,Foreman,Software Engineering,2019-08-28,2020-05-04,8,3,72261.6,5232.38,4232.45,,,,Java/Javascript,",,Java/Javascript"
1009,Adell,Saada,Adell_Saada,Model Assistant,Software Engineering,2019-06-13,2023-01-12,44,3,76950.23,3653.88,5563.91,,,,Python,",,Python"
1010,Kamari,Hunter,Kamari_Hunter,Supervisor,Software Engineering,2021-01-12,2022-03-18,14,3,59910.8,0,91.2,Azure,SQL,,Python,"SQL,,Python"
1011,Sarah,Malone,Sarah_Malone,Foreman,Software Engineering,2022-02-07,2023-02-12,12,3,33143.84,565.02,19.8,Azure,SQL,R,Python,"SQL,R,Python"
1012,Skyler,Blackwell,Skyler_Blackwell,Administrator,Software Engineering,2020-11-09,2021-06-06,7,3,190388.8,0,6540,,SQL,,Java/Javascript,"SQL,,Java/Javascript"
1014,Kole,Quinn,Kole_Quinn,Clerk,Software Engineering,2022-12-31,2023-07-13,6,3,53455.68,716.57,3.2,MapReduce,SQL,,Python,"SQL,,Python"
